case_id,court,judge,case_type,year,complexity,legal_domain,outcome,plaintiff_win_probability,description,title,date
CASE_2017_0151,Allahabad High Court,Justice A. Kumar,Copyright Violation,2023.0,5.0,Competition Law,defendant_win,0.736,Copyright infringement matter concerning unauthorized reproduction filed in 2023.,,
CASE_2022_0152,Delhi High Court,Justice D. Verma,Shareholder Dispute,2015.0,7.0,Corporate Law,plaintiff_win,0.765,Shareholder rights and corporate governance dispute filed in 2015.,,
CASE_2017_0153,Delhi High Court,Justice K. Rao,Supply Chain Dispute,2019.0,6.0,Competition Law,defendant_win,0.51,Supply chain contract breach and delivery obligations dispute filed in 2019.,,
CASE_2021_0154,Delhi High Court,Justice H. Kapoor,Arbitration Matter,2023.0,5.0,Securities Law,dismissed,0.586,Arbitration award enforcement and challenge proceedings filed in 2023.,,
CASE_2022_0155,Rajasthan High Court,Justice A. Kumar,Commercial Fraud,2016.0,7.0,Arbitration,defendant_win,0.54,Commercial fraud and misrepresentation case filed in 2016.,,
CASE_2019_0156,Madras High Court,Justice B. Nair,Trademark Infringement,2021.0,6.0,Intellectual Property,plaintiff_win,0.778,Trademark infringement case involving brand protection and market confusion filed in 2021.,,
CASE_2016_0157,Allahabad High Court,Justice R. Patel,Licensing Agreement,2019.0,5.0,Contract Law,plaintiff_win,0.569,Technology licensing and royalty payment dispute filed in 2019.,,
CASE_2015_0158,Calcutta High Court,Justice P. Mehta,Arbitration Matter,2021.0,5.0,Corporate Law,plaintiff_win,0.557,Arbitration award enforcement and challenge proceedings filed in 2021.,,
CASE_2021_0159,Madhya Pradesh High Court,Justice L. Desai,Supply Chain Dispute,2017.0,8.0,Corporate Law,plaintiff_win,0.351,Supply chain contract breach and delivery obligations dispute filed in 2017.,,
CASE_2024_0160,Gujarat High Court,Justice T. Iyer,Joint Venture Dispute,2018.0,5.0,Banking Law,dismissed,0.521,Joint venture agreement breach and profit distribution dispute filed in 2018.,,
CASE_2017_0161,Madras High Court,Justice K. Rao,Joint Venture Dispute,2019.0,7.0,Banking Law,plaintiff_win,0.438,Joint venture agreement breach and profit distribution dispute filed in 2019.,,
CASE_2015_0162,Allahabad High Court,Justice V. Reddy,Joint Venture Dispute,2023.0,6.0,Corporate Law,plaintiff_win,0.514,Joint venture agreement breach and profit distribution dispute filed in 2023.,,
CASE_2020_0163,Madhya Pradesh High Court,Justice V. Reddy,Joint Venture Dispute,2021.0,6.0,Insolvency,plaintiff_win,0.586,Joint venture agreement breach and profit distribution dispute filed in 2021.,,
CASE_2019_0164,Madras High Court,Justice N. Gupta,Merger & Acquisition Dispute,2022.0,7.0,Intellectual Property,plaintiff_win,0.608,M&A transaction dispute regarding representations and warranties filed in 2022.,,
CASE_2024_0165,Karnataka High Court,Justice T. Iyer,Partnership Dispute,2019.0,4.0,Contract Law,dismissed,0.605,Partnership dissolution and profit-sharing dispute filed in 2019.,,
CASE_2021_0166,Calcutta High Court,Justice A. Kumar,Commercial Fraud,2015.0,7.0,Banking Law,defendant_win,0.659,Commercial fraud and misrepresentation case filed in 2015.,,
CASE_2019_0167,Madras High Court,Justice T. Iyer,Supply Chain Dispute,2020.0,8.0,Arbitration,dismissed,0.271,Supply chain contract breach and delivery obligations dispute filed in 2020.,,
CASE_2024_0168,Calcutta High Court,Justice L. Desai,Supply Chain Dispute,2017.0,6.0,Intellectual Property,dismissed,0.378,Supply chain contract breach and delivery obligations dispute filed in 2017.,,
CASE_2015_0169,Calcutta High Court,Justice C. Joshi,Shareholder Dispute,2015.0,5.0,Competition Law,defendant_win,0.655,Shareholder rights and corporate governance dispute filed in 2015.,,
CASE_2016_0170,Calcutta High Court,Justice P. Mehta,Licensing Agreement,2021.0,6.0,Corporate Law,plaintiff_win,0.506,Technology licensing and royalty payment dispute filed in 2021.,,
CASE_2023_0171,Karnataka High Court,Justice D. Verma,Intellectual Property,2019.0,4.0,Corporate Law,plaintiff_win,0.551,Comprehensive IP rights protection and licensing dispute filed in 2019.,,
CASE_2022_0172,Calcutta High Court,Justice B. Nair,Merger & Acquisition Dispute,2020.0,7.0,Intellectual Property,plaintiff_win,0.643,M&A transaction dispute regarding representations and warranties filed in 2020.,,
CASE_2016_0173,Bombay High Court,Justice C. Joshi,Patent Dispute,2021.0,5.0,Competition Law,plaintiff_win,0.706,Patent validity and infringement dispute in technology sector filed in 2021.,,
CASE_2021_0174,Supreme Court of India,Justice V. Reddy,Intellectual Property,2016.0,3.0,Banking Law,plaintiff_win,0.685,Comprehensive IP rights protection and licensing dispute filed in 2016.,,
CASE_2019_0175,Madhya Pradesh High Court,Justice N. Gupta,Merger & Acquisition Dispute,2020.0,7.0,Intellectual Property,defendant_win,0.523,M&A transaction dispute regarding representations and warranties filed in 2020.,,
CASE_2022_0176,Supreme Court of India,Justice T. Iyer,Intellectual Property,2020.0,8.0,Arbitration,defendant_win,0.439,Comprehensive IP rights protection and licensing dispute filed in 2020.,,
CASE_2022_0177,Calcutta High Court,Justice L. Desai,Insolvency Proceedings,2016.0,8.0,Corporate Law,plaintiff_win,0.591,Corporate insolvency resolution process under IBC filed in 2016.,,
CASE_2015_0178,Calcutta High Court,Justice K. Rao,Trademark Infringement,2016.0,5.0,Arbitration,defendant_win,0.707,Trademark infringement case involving brand protection and market confusion filed in 2016.,,
CASE_2017_0179,Gujarat High Court,Justice K. Rao,Arbitration Matter,2023.0,4.0,Securities Law,plaintiff_win,0.72,Arbitration award enforcement and challenge proceedings filed in 2023.,,
CASE_2017_0180,Gujarat High Court,Justice L. Desai,Trademark Infringement,2022.0,6.0,Securities Law,dismissed,0.53,Trademark infringement case involving brand protection and market confusion filed in 2022.,,
CASE_2019_0181,Supreme Court of India,Justice B. Nair,Arbitration Matter,2018.0,6.0,Banking Law,plaintiff_win,0.48,Arbitration award enforcement and challenge proceedings filed in 2018.,,
CASE_2018_0182,Karnataka High Court,Justice S. Sharma,Joint Venture Dispute,2020.0,5.0,Competition Law,plaintiff_win,0.629,Joint venture agreement breach and profit distribution dispute filed in 2020.,,
CASE_2019_0183,Madras High Court,Justice S. Sharma,Merger & Acquisition Dispute,2022.0,5.0,Intellectual Property,defendant_win,0.599,M&A transaction dispute regarding representations and warranties filed in 2022.,,
CASE_2024_0184,Supreme Court of India,Justice A. Kumar,Supply Chain Dispute,2020.0,4.0,Arbitration,defendant_win,0.8,Supply chain contract breach and delivery obligations dispute filed in 2020.,,
CASE_2024_0185,Madras High Court,Justice S. Sharma,Merger & Acquisition Dispute,2023.0,4.0,Arbitration,plaintiff_win,0.741,M&A transaction dispute regarding representations and warranties filed in 2023.,,
CASE_2018_0186,Karnataka High Court,Justice C. Joshi,Copyright Violation,2024.0,4.0,Contract Law,plaintiff_win,0.8,Copyright infringement matter concerning unauthorized reproduction filed in 2024.,,
CASE_2017_0187,Bombay High Court,Justice D. Verma,Partnership Dispute,2017.0,3.0,Intellectual Property,defendant_win,0.537,Partnership dissolution and profit-sharing dispute filed in 2017.,,
CASE_2015_0188,Bombay High Court,Justice A. Kumar,Arbitration Matter,2018.0,7.0,Competition Law,plaintiff_win,0.63,Arbitration award enforcement and challenge proceedings filed in 2018.,,
CASE_2019_0189,Supreme Court of India,Justice R. Patel,Licensing Agreement,2021.0,6.0,Intellectual Property,defendant_win,0.715,Technology licensing and royalty payment dispute filed in 2021.,,
CASE_2022_0190,Allahabad High Court,Justice C. Joshi,Arbitration Matter,2023.0,7.0,Intellectual Property,plaintiff_win,0.502,Arbitration award enforcement and challenge proceedings filed in 2023.,,
CASE_2018_0191,Madhya Pradesh High Court,Justice A. Kumar,Licensing Agreement,2023.0,8.0,Insolvency,plaintiff_win,0.464,Technology licensing and royalty payment dispute filed in 2023.,,
CASE_2015_0192,Supreme Court of India,Justice K. Rao,Merger & Acquisition Dispute,2021.0,3.0,Securities Law,plaintiff_win,0.786,M&A transaction dispute regarding representations and warranties filed in 2021.,,
CASE_2022_0193,Allahabad High Court,Justice S. Sharma,Trademark Infringement,2020.0,6.0,Corporate Law,plaintiff_win,0.526,Trademark infringement case involving brand protection and market confusion filed in 2020.,,
CASE_2019_0194,Madhya Pradesh High Court,Justice L. Desai,Commercial Fraud,2023.0,7.0,Competition Law,plaintiff_win,0.8,Commercial fraud and misrepresentation case filed in 2023.,,
CASE_2024_0195,Rajasthan High Court,Justice V. Reddy,Shareholder Dispute,2023.0,4.0,Securities Law,plaintiff_win,0.57,Shareholder rights and corporate governance dispute filed in 2023.,,
CASE_2016_0196,Rajasthan High Court,Justice B. Nair,Merger & Acquisition Dispute,2018.0,5.0,Securities Law,plaintiff_win,0.5,M&A transaction dispute regarding representations and warranties filed in 2018.,,
CASE_2018_0197,Gujarat High Court,Justice P. Mehta,Merger & Acquisition Dispute,2022.0,3.0,Securities Law,plaintiff_win,0.727,M&A transaction dispute regarding representations and warranties filed in 2022.,,
CASE_2016_0198,Karnataka High Court,Justice N. Gupta,Arbitration Matter,2019.0,5.0,Competition Law,dismissed,0.577,Arbitration award enforcement and challenge proceedings filed in 2019.,,
CASE_2022_0199,Delhi High Court,Justice S. Sharma,Merger & Acquisition Dispute,2016.0,8.0,Intellectual Property,defendant_win,0.365,M&A transaction dispute regarding representations and warranties filed in 2016.,,
CASE_2020_0200,Bombay High Court,Justice D. Verma,Breach of Contract,2024.0,7.0,Competition Law,defendant_win,0.596,Commercial contract dispute regarding non-performance of obligations filed in 2024.,,
CASE_2021_0201,Karnataka High Court,Justice H. Kapoor,Joint Venture Dispute,2021.0,4.0,Contract Law,dismissed,0.607,Joint venture agreement breach and profit distribution dispute filed in 2021.,,
CASE_2024_0202,Calcutta High Court,Justice P. Mehta,Trademark Infringement,2024.0,8.0,Arbitration,plaintiff_win,0.648,Trademark infringement case involving brand protection and market confusion filed in 2024.,,
CASE_2022_0203,Madras High Court,Justice H. Kapoor,Trademark Infringement,2020.0,3.0,Competition Law,plaintiff_win,0.747,Trademark infringement case involving brand protection and market confusion filed in 2020.,,
CASE_2019_0204,Madhya Pradesh High Court,Justice M. Singh,Supply Chain Dispute,2021.0,5.0,Contract Law,plaintiff_win,0.635,Supply chain contract breach and delivery obligations dispute filed in 2021.,,
CASE_2019_0205,Supreme Court of India,Justice R. Patel,Partnership Dispute,2019.0,6.0,Competition Law,plaintiff_win,0.507,Partnership dissolution and profit-sharing dispute filed in 2019.,,
CASE_2017_0206,Bombay High Court,Justice T. Iyer,Joint Venture Dispute,2021.0,6.0,Intellectual Property,plaintiff_win,0.766,Joint venture agreement breach and profit distribution dispute filed in 2021.,,
CASE_2015_0207,Delhi High Court,Justice B. Nair,Intellectual Property,2018.0,5.0,Securities Law,plaintiff_win,0.519,Comprehensive IP rights protection and licensing dispute filed in 2018.,,
CASE_2020_0208,Bombay High Court,Justice P. Mehta,Partnership Dispute,2020.0,6.0,Intellectual Property,defendant_win,0.678,Partnership dissolution and profit-sharing dispute filed in 2020.,,
CASE_2017_0209,Bombay High Court,Justice C. Joshi,Commercial Fraud,2015.0,4.0,Intellectual Property,plaintiff_win,0.714,Commercial fraud and misrepresentation case filed in 2015.,,
CASE_2021_0210,Allahabad High Court,Justice T. Iyer,Shareholder Dispute,2021.0,5.0,Insolvency,plaintiff_win,0.414,Shareholder rights and corporate governance dispute filed in 2021.,,
CASE_2023_0211,Delhi High Court,Justice P. Mehta,Insolvency Proceedings,2016.0,5.0,Insolvency,settlement,0.339,Corporate insolvency resolution process under IBC filed in 2016.,,
CASE_2024_0212,Allahabad High Court,Justice D. Verma,Joint Venture Dispute,2019.0,7.0,Contract Law,plaintiff_win,0.536,Joint venture agreement breach and profit distribution dispute filed in 2019.,,
CASE_2024_0213,Supreme Court of India,Justice A. Kumar,Patent Dispute,2019.0,6.0,Arbitration,plaintiff_win,0.8,Patent validity and infringement dispute in technology sector filed in 2019.,,
CASE_2019_0214,Calcutta High Court,Justice P. Mehta,Trademark Infringement,2015.0,5.0,Banking Law,plaintiff_win,0.748,Trademark infringement case involving brand protection and market confusion filed in 2015.,,
CASE_2017_0215,Bombay High Court,Justice N. Gupta,Intellectual Property,2018.0,7.0,Competition Law,plaintiff_win,0.523,Comprehensive IP rights protection and licensing dispute filed in 2018.,,
CASE_2015_0216,Gujarat High Court,Justice A. Kumar,Shareholder Dispute,2016.0,7.0,Competition Law,defendant_win,0.552,Shareholder rights and corporate governance dispute filed in 2016.,,
CASE_2024_0217,Gujarat High Court,Justice B. Nair,Joint Venture Dispute,2021.0,8.0,Insolvency,plaintiff_win,0.48,Joint venture agreement breach and profit distribution dispute filed in 2021.,,
CASE_2015_0218,Karnataka High Court,Justice R. Patel,Supply Chain Dispute,2024.0,5.0,Banking Law,dismissed,0.44,Supply chain contract breach and delivery obligations dispute filed in 2024.,,
CASE_2020_0219,Delhi High Court,Justice N. Gupta,Merger & Acquisition Dispute,2016.0,8.0,Arbitration,plaintiff_win,0.458,M&A transaction dispute regarding representations and warranties filed in 2016.,,
CASE_2021_0220,Rajasthan High Court,Justice S. Sharma,Insolvency Proceedings,2019.0,5.0,Competition Law,plaintiff_win,0.608,Corporate insolvency resolution process under IBC filed in 2019.,,
CASE_2017_0221,Delhi High Court,Justice D. Verma,Joint Venture Dispute,2016.0,5.0,Arbitration,dismissed,0.519,Joint venture agreement breach and profit distribution dispute filed in 2016.,,
CASE_2020_0222,Karnataka High Court,Justice B. Nair,Merger & Acquisition Dispute,2017.0,7.0,Arbitration,plaintiff_win,0.494,M&A transaction dispute regarding representations and warranties filed in 2017.,,
CASE_2019_0223,Madras High Court,Justice R. Patel,Commercial Fraud,2017.0,7.0,Intellectual Property,plaintiff_win,0.8,Commercial fraud and misrepresentation case filed in 2017.,,
CASE_2022_0224,Allahabad High Court,Justice C. Joshi,Commercial Fraud,2024.0,7.0,Banking Law,plaintiff_win,0.731,Commercial fraud and misrepresentation case filed in 2024.,,
CASE_2024_0225,Madhya Pradesh High Court,Justice P. Mehta,Merger & Acquisition Dispute,2020.0,7.0,Corporate Law,plaintiff_win,0.519,M&A transaction dispute regarding representations and warranties filed in 2020.,,
CASE_2022_0226,Allahabad High Court,Justice L. Desai,Partnership Dispute,2019.0,4.0,Contract Law,plaintiff_win,0.39,Partnership dissolution and profit-sharing dispute filed in 2019.,,
CASE_2016_0227,Calcutta High Court,Justice K. Rao,Shareholder Dispute,2015.0,8.0,Contract Law,defendant_win,0.263,Shareholder rights and corporate governance dispute filed in 2015.,,
CASE_2019_0228,Delhi High Court,Justice L. Desai,Merger & Acquisition Dispute,2016.0,6.0,Securities Law,plaintiff_win,0.584,M&A transaction dispute regarding representations and warranties filed in 2016.,,
CASE_2023_0229,Supreme Court of India,Justice K. Rao,Supply Chain Dispute,2024.0,6.0,Arbitration,plaintiff_win,0.517,Supply chain contract breach and delivery obligations dispute filed in 2024.,,
CASE_2022_0230,Rajasthan High Court,Justice R. Patel,Breach of Contract,2022.0,6.0,Intellectual Property,defendant_win,0.62,Commercial contract dispute regarding non-performance of obligations filed in 2022.,,
CASE_2020_0231,Delhi High Court,Justice D. Verma,Joint Venture Dispute,2017.0,5.0,Contract Law,plaintiff_win,0.541,Joint venture agreement breach and profit distribution dispute filed in 2017.,,
CASE_2022_0232,Allahabad High Court,Justice D. Verma,Intellectual Property,2024.0,7.0,Corporate Law,plaintiff_win,0.705,Comprehensive IP rights protection and licensing dispute filed in 2024.,,
CASE_2019_0233,Gujarat High Court,Justice N. Gupta,Supply Chain Dispute,2020.0,5.0,Contract Law,defendant_win,0.653,Supply chain contract breach and delivery obligations dispute filed in 2020.,,
CASE_2020_0234,Delhi High Court,Justice P. Mehta,Trademark Infringement,2023.0,5.0,Securities Law,plaintiff_win,0.697,Trademark infringement case involving brand protection and market confusion filed in 2023.,,
CASE_2024_0235,Bombay High Court,Justice P. Mehta,Trademark Infringement,2024.0,4.0,Corporate Law,defendant_win,0.8,Trademark infringement case involving brand protection and market confusion filed in 2024.,,
CASE_2019_0236,Gujarat High Court,Justice R. Patel,Commercial Fraud,2016.0,4.0,Insolvency,plaintiff_win,0.788,Commercial fraud and misrepresentation case filed in 2016.,,
CASE_2020_0237,Bombay High Court,Justice L. Desai,Licensing Agreement,2023.0,4.0,Intellectual Property,defendant_win,0.457,Technology licensing and royalty payment dispute filed in 2023.,,
CASE_2021_0238,Rajasthan High Court,Justice P. Mehta,Breach of Contract,2020.0,5.0,Insolvency,plaintiff_win,0.794,Commercial contract dispute regarding non-performance of obligations filed in 2020.,,
CASE_2018_0239,Karnataka High Court,Justice C. Joshi,Shareholder Dispute,2018.0,7.0,Arbitration,dismissed,0.52,Shareholder rights and corporate governance dispute filed in 2018.,,
CASE_2017_0240,Delhi High Court,Justice V. Reddy,Merger & Acquisition Dispute,2016.0,6.0,Contract Law,settlement,0.313,M&A transaction dispute regarding representations and warranties filed in 2016.,,
CASE_2024_0241,Bombay High Court,Justice T. Iyer,Insolvency Proceedings,2017.0,5.0,Corporate Law,plaintiff_win,0.628,Corporate insolvency resolution process under IBC filed in 2017.,,
CASE_2024_0242,Bombay High Court,Justice B. Nair,Shareholder Dispute,2015.0,7.0,Securities Law,plaintiff_win,0.563,Shareholder rights and corporate governance dispute filed in 2015.,,
CASE_2018_0243,Allahabad High Court,Justice T. Iyer,Partnership Dispute,2022.0,4.0,Arbitration,plaintiff_win,0.599,Partnership dissolution and profit-sharing dispute filed in 2022.,,
CASE_2019_0244,Allahabad High Court,Justice H. Kapoor,Patent Dispute,2020.0,4.0,Banking Law,plaintiff_win,0.8,Patent validity and infringement dispute in technology sector filed in 2020.,,
CASE_2019_0245,Gujarat High Court,Justice D. Verma,Intellectual Property,2021.0,5.0,Corporate Law,settlement,0.549,Comprehensive IP rights protection and licensing dispute filed in 2021.,,
CASE_2024_0246,Bombay High Court,Justice H. Kapoor,Partnership Dispute,2015.0,5.0,Banking Law,settlement,0.57,Partnership dissolution and profit-sharing dispute filed in 2015.,,
CASE_2023_0247,Delhi High Court,Justice B. Nair,Merger & Acquisition Dispute,2023.0,6.0,Intellectual Property,plaintiff_win,0.568,M&A transaction dispute regarding representations and warranties filed in 2023.,,
CASE_2017_0248,Calcutta High Court,Justice K. Rao,Intellectual Property,2017.0,4.0,Securities Law,plaintiff_win,0.542,Comprehensive IP rights protection and licensing dispute filed in 2017.,,
CASE_2018_0249,Allahabad High Court,Justice P. Mehta,Breach of Contract,2021.0,4.0,Contract Law,plaintiff_win,0.59,Commercial contract dispute regarding non-performance of obligations filed in 2021.,,
CASE_2020_0250,Madras High Court,Justice N. Gupta,Trademark Infringement,2020.0,5.0,Arbitration,plaintiff_win,0.699,Trademark infringement case involving brand protection and market confusion filed in 2020.,,
,Kerala High Court,,,,,,allowed,,<b>breach</b> of <b>contract</b>. Therefore <b>breach</b> of <b>contract</b> is the basis for a suit for specific performance as well as a suit for <b>damages</b>; although ... account of <b>breach</b> of <b>contract</b> the <b>damages</b> are granted for the non-performance of the <b>contract</b>. A claim for <b>damages</b> in addition to or substitution ,"John vs Mammootty on 28 February, 1984",1984-02-28
,Madhya Pradesh High Court,,,,,,dismissed,,"admitted that the <b>disputed</b> <b>properties</b> are their ancestral
<b>properties</b>. They have denied the averrments that in 1971 a
<b>partition</b> of <b>properties</b> took place in life ... proof of <b>partition</b> lies upon the plaintiff.
  Plaintiff Smt. Sulakshana (PW-1) deposed about oral <b>partition</b>
of the <b>disputed</b> <b>property</b> in the year ","Mukund vs Smt.Sulakshna Bokare & Ors. on 15 May, 2017",2017-05-15
,Allahabad High Court,,,,,,dismissed,,"owners in possession of the <b>disputed</b> house.
  
 16. It was specifically denied that the <b>disputed</b> <b>property</b>, was the  <b>property</b> of the joint Hindu family ... <b>disputed</b> house was the <b>property</b> of the joint Hindu family. The plaintiff also failed to prove that regarding the <b>disputed</b> <b>property</b>, a <b>partition</b> took place ","Rajesh Chhabra vs Radhey Lal Jeswani And Others on 16 September, 2025",2025-09-16
,Madras High Court,,,,,,dismissed,,"contention. In the said case, the petition filed for <b>divorce</b> on the twin <b>grounds</b> of <b>cruelty</b> and desertion was dismissed only on the ground ... relating to desertion, the consideration about delay in filing <b>divorce</b> petition on the <b>grounds</b> of <b>cruelty</b> and adultery is not applicable.  After relying upon ","Chandrika vs M. Vijayakumar on 9 April, 1996",1996-04-09
,Delhi High Court,,,,,,allowed,,"parte interim <b>injunction</b> granted on 12.8.1999 are being disposed of.
  

 2. Plaintiffs has filed a suit for <b>injunction</b> against <b>infringement</b> of <b>trademark</b>, <b>infringement</b> of copyright ... suit for permanent <b>injunction</b> restraining <b>infringement</b> of <b>Trademark</b>, <b>infringement</b> of copyright, passing off......&quot; Suit for <b>infringement</b> of <b>trademark</b> will lie under  Section ","Om Prakash Gupta vs Parveen Kumar And Anr. on 19 May, 2000",2000-05-19
,Supreme Court of India,,,,,,allowed,,"Scope	of right of <b>appeal</b> by the  accused-Scope  of
interference by <b>Supreme</b> <b>Court</b> in such <b>appeals</b>.
     Criminal  Trial-<b>Murder</b>-Motive-When	 motive	 is  equally ... <b>murder</b>.	 The Sessions  Judge
acquitted  both	 the  appellants.  The	State  preferred  an
<b>appeal</b>	before the High <b>Court</b>.	The High <b>Court</b>	allowed	 the
<b>appeal</b>,	 set  aside ","Chandra Mohan Tiwari And Anr vs State Of Madhya Pradesh on 22 January, 1992",1992-01-22
,Supreme Court of India,,,,,,dismissed,,"<b>Supreme</b>  <b>Court</b>   (Enlargement  of	 Criminal  Appellate
Jurisdiction) Act, 1970-S.2(a)-Scope-<b>Supreme</b> <b>Court</b>, if could
summarily dismiss an <b>appeal</b> under section ... <b>appeal</b>  by  the  State,  the	 High  <b>Court</b>  convicted	 and
sentenced them.	  In  their <b>appeal</b> under section 2(a) of the
<b>Supreme</b>	  <b>Court</b>	   (Enlargement	  of	Criminal ","Rajput Ruda Maha And Ors vs State Of Gujarat on 5 December, 1979",1979-12-05
,Madhya Pradesh High Court,,,,,,dismissed,,"sentence. The High <b>Court</b> commuted the sentence to
      one of life imprisonment. The <b>Supreme</b> <b>Court</b> in
      <b>appeal</b> noting the brutality of <b>murder</b> held that ... accused earlier had
committed the <b>murder</b>. He was convicted and awarded life
sentence by the trial <b>court</b>. On <b>appeal</b>, sentence of the accused
was suspended ","Yogendra @ Jogendra Singh vs The State Of Madhya Pradesh on 12 December, 2014",2014-12-12
,Kerala High Court,,,,,,dismissed,,"Police and acted upon by the <b>Court</b> against her. The appellant, who was also convicted, <b>appealed</b> to the <b>Supreme</b> <b>Court</b> of Jamaica and urged that ... give evidence and both were found guilty of <b>murder</b>. Daniel Youth alone <b>appealed</b> to the <b>Supreme</b> <b>Court</b> of Jamaica, his contention being that the statement ","T.J. Ponnen vs M.C. Varghese on 1 November, 1966",1966-11-01
,Supreme Court of India,,,,,,dismissed,,"Justice-When a	life convict <b>appeals</b>
that he	 was convicted	for a  <b>murder</b> that  never  was,	 the
<b>Supreme</b> <b>Court</b> can reconsider the question seriously ... illegal. The  High <b>Court</b>  dismissed the	 petition. Hence the
<b>appeal</b> by Special Leave of the <b>Court</b>.
     Dismissing the <b>appeal</b>, the <b>Court</b>,
^
     HELD; 1:1. When ","Lallu Ram And Ors vs State Of U.P. And Anr on 27 September, 1984",1984-09-27
,Allahabad High Court,,,,,,allowed,,"aside and suit filed by appellant for <b>divorce</b> on <b>grounds</b> of <b>cruelty</b> and desertion is liable to be decreed by this Court.
  
 11. Before proceeding ... scheme of Act, 1955, <b>grounds</b> of <b>divorce</b> mentioned in  Section 13  are independent <b>grounds</b>. Fulfilment of one of the <b>grounds</b> mentioned in  Section ","Shri Vishnu Shankar Pandey vs Smt. Maya Pandey on 20 December, 2019",2019-12-20
,Supreme Court of India,,,,,,allowed,,"SCALE  (2)1246


ACT:
     Plea for  <b>divorce</b> by  husband on <b>grounds</b> of <b>cruelty</b> and
desertion by wife.



HEADNOTE:
%
     The appellant  and the  respondent, husband ... therefore, filed  a petition for a decree
of <b>divorce</b>  on the  <b>grounds</b> of	<b>cruelty</b> and  desertion.	 The
trial  Court   granted	the   <b>divorce</b>.	On   appeal ","J. L. Nanda vs Smt. Veena Nanda on 11 December, 1987",1987-12-11
,Allahabad High Court,,,,,,dismissed,,"dismissed marriage petition filed by plaintiff-appellant for <b>divorce</b> on the <b>grounds</b> of <b>cruelty</b>, adultery and desertion.
  
 2.	According to plaint allegations, marriage of plaintiff ... filed by plaintiff-appellant for decree of <b>divorce</b> on <b>grounds</b> of <b>cruelty</b>, adultery and desertion. Apart from factual pleas in respect of aforesaid <b>grounds</b> ","Girish Chandra Srivastava vs Smt. Reeta Srivastava on 20 September, 2019",2019-09-20
,Madras High Court,,,,,,allowed,,"matrimonial house, the Respondent filed the Petition for <b>divorce</b> on the <b>grounds</b> of  <b>cruelty</b> and desertion.
 
 	3. The Appellant resisted the Petition by filing counter ... were no justifiable <b>grounds</b> for leaving the matrimonial house and the trial Court rightly granted <b>divorce</b> on the <b>grounds</b> of <b>cruelty</b> and desertion.
 
 	9. Upon ","Mrs.P.Manimekalai vs R.Kothandaraman on 4 August, 2010",2010-08-04
,Punjab-Haryana High Court,,,,,,allowed,,"dissolution of marriage between the parties by decree of <b>divorce</b> on the

<b>grounds</b> of <b>cruelty</b> and desertion, has been allowed.
 
             Brief facts of the case ... petitioner is entitled for grant of decree of
       <b>divorce</b> on the <b>grounds</b> of <b>cruelty</b> and desertion as alleged in
       the petition?OPP

         2.     Relief ","Kusum @ Sunaina vs Arun Kumar on 22 December, 2021",2021-12-22
,Chattisgarh High Court,,,,,,dismissed,,"Family Court for grant of a decree of <b>divorce</b> on the <b>grounds</b> of

<b>cruelty</b> and desertion.
                                    4  



  4.   The Respondent, leaving the admitted facts ... dismissed.
 
 

  9.    The Appellant has sought a decree of <b>divorce</b> on the <b>grounds</b> of (i)

      <b>cruelty</b> and (ii) desertion.
 
 

  10.   As far as the ground ","Yogesh Kumar Pandey vs Smt.Swati Pandey on 24 January, 2017",2017-01-24
,Union of India - Section,,,,,,dismissed,,"order under this sub-Section or has rejected the <b>application</b> for grant of <b>anticipatory</b> <b>bail</b>, it shall be open to an officer incharge ... order under this sub-section or has rejected the <b>application</b> for grant of <b>anticipatory</b> <b>bail</b>, it shall be open to an officer-in-charge ","Section 438 in The Code of Criminal Procedure, 1973",1974-01-25
,Allahabad High Court,,,,,,allowed,,"Order on Criminal Misc. Exemption <b>Application</b>
 
This exemption <b>application</b> is allowed.
  
 4) Order on Criminal Misc. <b>Anticipatory</b> <b>Bail</b> <b>Application</b>
 
The instant <b>anticipatory</b> <b>bail</b> <b>application</b> ... <b>anticipatory</b> <b>bail</b> cannot be granted.
  

 
  9) This Court in the case of  Adil Vs. State of U.P.  passed in Criminal Misc.   <b>Anticipatory</b> <b>Bail</b> <b>Application</b> ","Shivam vs State Of U.P. And Another on 5 April, 2021",2021-04-05
,Orissa High Court,,,,,,dismissed,,"case, set aside the impugned order and held that, if an <b>anticipatory</b> <b>bail</b>

<b>application</b> has been rejected, there could not have been any further direction ... <b>anticipatory</b> <b>bail</b> or

regular <b>bail</b>.
 
 
  12.             Coming to the question of passing of order of interim protection at

the threshold in an <b>anticipatory</b> <b>bail</b> <b>application</b> ","Pramod Kumar Ray And Others vs State Of Odisha on 10 May, 2017",2017-05-10
,Rajasthan High Court - Jaipur,,,,,,dismissed,,"Judge, after rejection of three previous <b>bail</b> applications under  Section 438  Cr.P.C. granted 4th <b>anticipatory</b> <b>bail</b> <b>application</b> on the ground that the petitioner ... <b>application</b> for <b>anticipatory</b> <b>bail</b> was not barred. 
  

 (vii) In Islam Mohammed v. State of Raj., 1994 RCC 207, second <b>anticipatory</b> <b>bail</b> <b>application</b> moved ","Ganesh Raj vs State Of Rajasthan And Ors. on 1 April, 2005",2005-04-01
